City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,bohdan,48.0412,24.3522,-3.49,95,82,0.56,UA,1676525024
112,enshi,30.3,109.4833,8.35,75,99,0.53,CN,1676525024
113,esperance,-33.8667,121.9,23.96,50,54,4.22,AU,1676525022
114,cape town,-33.9258,18.4232,21.23,77,20,10.29,ZA,1676524541
115,san patricio,28.017,-97.5169,22.97,94,70,6.24,US,1676525024
116,harbour breton,47.4833,-55.7983,-0.99,77,86,6.17,CA,1676525025
117,xuanzhou,30.9525,118.7553,11.4,42,0,3.31,CN,1676525026
118,bethel,41.3712,-73.414,15.05,61,0,5.14,US,1676524828
119,mayo,38.8876,-76.5119,16.97,60,0,4.12,US,1676525026
120,olafsvik,64.8945,-23.7142,2.96,73,74,7.21,IS,1676525027
121,davila,18.4726,120.5763,29.99,74,39,13.12,PH,1676524961
122,los llanos de aridane,28.6585,-17.9182,10.86,71,75,3.09,ES,1676525027
123,bambous virieux,-20.3428,57.7575,28.45,69,75,2.57,MU,1676524990
124,kamenka,51.3223,42.7678,-13.84,97,89,2.94,RU,1676525028
125,kasangulu,-4.5911,15.1708,23.49,97,86,1.6,CD,1676525028
126,clyde river,70.4692,-68.5914,-30.87,76,100,8.75,CA,1676524910
127,gorin,51.1983,136.6669,-14.79,81,80,2.88,RU,1676525029
128,drayton valley,53.2168,-114.9854,-6.22,90,99,2.13,CA,1676525029
129,mercedes,-34.6515,-59.4307,22.1,33,47,2.96,AR,1676525030
130,dalbandin,28.8947,64.4101,23.58,11,6,2.9,PK,1676524974
131,mbuguni,-3.5667,36.95,21.45,77,55,2.6,TZ,1676525030
132,nalut,30.3333,10.85,6.63,62,29,4.67,LY,1676525031
133,ampanihy,-24.7,44.75,26.13,60,1,2.85,MG,1676525031
134,broken hill,-31.95,141.4333,37.57,13,0,4.93,AU,1676524933
135,upernavik,72.7868,-56.1549,-25.31,77,100,4.68,GL,1676524928
136,kruisfontein,-34.0033,24.7314,19.38,85,84,3.54,ZA,1676525032
137,zaragoza,41.6561,-0.8773,4.45,84,0,0.51,ES,1676525005
138,jumla,29.2747,82.1838,16.54,16,0,2.34,NP,1676525033
139,rio gallegos,-51.6226,-69.2181,4.03,65,0,10.8,AR,1676525033
140,kavaratti,10.5669,72.642,26.83,71,27,2.08,IN,1676524763
141,hithadhoo,-0.6,73.0833,27.26,78,47,5.6,MV,1676524930
142,kindu,-2.95,25.95,20.87,99,98,0.68,CD,1676525034
143,guna,24.65,77.3167,26.2,19,0,2.77,IN,1676525034
144,luderitz,-26.6481,15.1594,17.12,81,0,7.7,NA,1676525027
145,pedasi,7.5333,-80.0333,24.48,85,7,7.31,PA,1676525035
146,eyl,7.9803,49.8164,25.82,59,73,8.18,SO,1676524896
147,mareeba,-17.0,145.4333,24.69,97,100,2.79,AU,1676525035
148,bilibino,68.0546,166.4372,-34.9,98,18,1.07,RU,1676525036
149,santa ana,33.7456,-117.8678,11.89,51,0,2.06,US,1676525036
150,hobyo,5.3505,48.5268,26.64,57,84,8.34,SO,1676525036
151,dmitriyevskaya,45.6564,40.7653,-5.49,95,40,2.18,RU,1676525037
152,kapoeta,4.7717,33.5903,26.7,25,49,1.38,SS,1676525037
153,abu dhabi,24.4667,54.3667,24.06,29,0,3.09,AE,1676524450
154,hun,29.1268,15.9477,8.43,67,26,0.72,LY,1676525038
155,bolu,40.6667,31.5833,-6.72,94,79,0.59,TR,1676525038
156,oriximina,-1.7656,-55.8661,23.28,96,99,0.87,BR,1676524832
157,cayenne,4.9333,-52.3333,24.02,100,75,0.0,GF,1676524989
158,inhambane,-23.865,35.3833,27.12,78,1,3.81,MZ,1676525015
159,zhanaozen,43.3,52.8,0.06,92,75,7.54,KZ,1676525039
160,jingdezhen,29.2947,117.2079,13.72,48,6,0.84,CN,1676525039
161,lompoc,34.6391,-120.4579,7.19,75,0,3.6,US,1676524763
162,tekeli,44.83,78.8239,-1.36,76,90,1.66,KZ,1676525040
163,bengkulu,-3.8004,102.2655,28.71,63,92,2.87,ID,1676525040
164,superior,46.7208,-92.1041,-8.95,77,0,4.63,US,1676525041
165,lorengau,-2.0226,147.2712,25.28,90,100,6.03,PG,1676524942
166,orbetello,42.4408,11.2196,6.01,78,15,1.65,IT,1676525041
167,mackay,-21.15,149.2,27.05,79,100,4.49,AU,1676525042
168,garden city,42.3256,-83.331,5.5,74,100,6.69,US,1676524844
169,tuatapere,-46.1333,167.6833,18.12,62,44,3.64,NZ,1676524941
170,sergeyevka,53.88,67.4158,-16.38,90,34,1.96,KZ,1676525043
171,tres arroyos,-38.3739,-60.2798,12.66,82,51,2.73,AR,1676525044
172,mount gambier,-37.8333,140.7667,35.14,14,86,4.53,AU,1676524900
173,severnyy,50.677,36.5532,-4.98,86,100,4.0,RU,1676525044
174,tuktoyaktuk,69.4541,-133.0374,-35.0,75,0,4.63,CA,1676524934
175,negri,46.7,26.9667,-0.88,86,20,1.47,RO,1676525045
176,geraldton,-28.7667,114.6,26.23,53,40,7.72,AU,1676524761
177,chuy,-33.6971,-53.4616,18.44,72,0,3.15,UY,1676525012
178,youhao,47.8667,128.8333,-5.54,53,93,2.04,CN,1676525046
179,newport,51.5877,-2.9984,9.27,94,100,6.27,GB,1676524793
180,mashhad,36.297,59.6062,6.08,93,100,0.0,IR,1676525047
181,acapulco,16.8634,-99.8901,26.9,69,75,2.57,MX,1676524808
182,atuona,-9.8,-139.0333,25.95,75,81,6.13,PF,1676524917
183,tura,25.5198,90.2201,26.83,20,0,0.58,IN,1676525048
184,oktyabrskoye,43.0645,44.7417,-5.92,100,100,5.0,RU,1676525049
185,kawalu,-7.3817,108.2082,28.48,68,100,0.71,ID,1676524981
186,saquena,-4.6667,-73.5167,22.59,99,100,1.79,PE,1676525050
187,coquimbo,-29.9533,-71.3436,15.85,94,0,1.03,CL,1676524997
188,taoudenni,22.6783,-3.9836,21.32,22,89,3.75,ML,1676525026
189,guerrero negro,27.9769,-114.0611,13.57,53,100,2.68,MX,1676525051
190,thompson,55.7435,-97.8558,-30.91,76,0,1.54,CA,1676524898
191,pangai,-19.8,-174.35,26.06,83,75,2.57,TO,1676525051
192,saskylakh,71.9167,114.0833,-17.56,97,100,3.12,RU,1676524912
193,sharan,54.8167,54.0,-8.53,94,92,5.38,RU,1676525052
194,chalala,21.4167,71.1667,30.0,16,1,3.23,IN,1676525053
195,kargasok,59.0556,80.8572,-14.68,95,99,2.36,RU,1676525053
196,aktash,50.3,87.7333,-15.24,82,97,0.94,RU,1676525054
197,zyryanka,65.75,150.85,-32.7,94,99,1.34,RU,1676525055
198,aklavik,68.2191,-135.0107,-35.49,100,19,0.67,CA,1676525004
199,luena,-11.7833,19.9167,17.38,94,100,3.35,AO,1676525056
200,katsuura,35.1333,140.3,6.81,52,49,3.95,JP,1676524967
201,karratha,-20.7377,116.8463,39.39,25,17,5.67,AU,1676525056
202,rio grande,-32.035,-52.0986,22.15,74,0,5.09,BR,1676525057
203,minsk,53.9,27.5667,-2.14,98,100,0.62,BY,1676524757
204,te anau,-45.4167,167.7167,21.98,41,44,2.28,NZ,1676525000
205,cabanas,22.9758,-82.9219,20.76,85,0,3.77,CU,1676525058
206,shubarshi,48.5872,57.1869,-6.55,91,100,6.39,KZ,1676525059
207,tasiilaq,65.6145,-37.6368,-5.91,94,96,3.58,GL,1676524948
208,chokurdakh,70.6333,147.9167,-35.38,99,94,0.67,RU,1676524977
209,balakhta,55.38,91.6,-18.59,98,99,0.55,RU,1676525059
210,ponta do sol,32.6667,-17.1,15.35,54,39,3.73,PT,1676524939
211,santa isabel do rio negro,-0.4139,-65.0192,23.31,96,100,0.32,BR,1676525060
212,nome,64.5011,-165.4064,-27.96,76,0,0.0,US,1676525061
213,qaanaaq,77.484,-69.3632,-28.61,65,22,3.69,GL,1676524912
214,airai,-8.9266,125.4092,20.47,82,96,1.64,TL,1676524898
215,vardo,70.3705,31.1107,-1.01,86,100,12.86,NO,1676524962
216,maraa,-1.8333,-65.3667,23.2,98,100,0.9,BR,1676525062
217,fare,-16.7,-151.0167,27.63,74,14,4.82,PF,1676524993
218,lebu,-37.6167,-73.65,13.56,83,8,9.52,CL,1676524911
219,narsaq,60.9167,-46.05,-16.88,76,100,3.57,GL,1676524945
220,nikolskoye,59.7035,30.7861,-0.05,96,100,3.04,RU,1676524921
221,honiara,-9.4333,159.95,29.4,75,99,1.57,SB,1676524927
222,dikson,73.5069,80.5464,-16.42,94,100,10.94,RU,1676524892
223,medea,36.2642,2.7539,3.58,74,22,2.99,DZ,1676525063
224,noumea,-22.2763,166.4572,27.99,60,74,5.34,NC,1676525064
225,carnarvon,-24.8667,113.6333,26.48,55,0,8.28,AU,1676524968
226,shihezi,44.3,86.0333,-6.73,90,100,2.3,CN,1676525066
227,alofi,-19.0595,-169.9187,25.94,89,100,4.12,NU,1676525067
228,kapaa,22.0752,-159.319,21.99,89,40,2.57,US,1676524797
229,mahebourg,-20.4081,57.7,28.47,69,75,2.57,MU,1676524985
230,sambava,-14.2667,50.1667,25.63,82,13,2.12,MG,1676524924
231,tabou,4.423,-7.3528,26.01,86,86,2.01,CI,1676525068
232,hirado,33.3597,129.5531,8.13,56,20,2.89,JP,1676525068
233,nabire,-3.3667,135.4833,27.73,77,100,0.44,ID,1676524971
234,cherskiy,68.75,161.3,-41.31,100,62,1.85,RU,1676525063
235,henties bay,-22.116,14.2845,17.94,82,93,2.44,NA,1676524957
236,quelimane,-17.8786,36.8883,24.97,88,75,4.12,MZ,1676525070
237,turukhansk,65.8167,87.9833,-14.57,94,100,5.17,RU,1676525071
238,salalah,17.0151,54.0924,24.05,73,0,1.54,OM,1676525072
239,ust-omchug,61.15,149.6333,-24.4,91,100,3.02,RU,1676524795
240,vizinga,61.0749,50.1031,-20.52,100,100,1.06,RU,1676525072
241,pevek,69.7008,170.3133,-40.74,98,74,2.08,RU,1676524982
242,seminole,28.7086,-81.2081,20.77,87,0,2.06,US,1676524816
243,petrolia,42.8668,-82.1498,5.01,70,100,4.12,CA,1676525073
244,aranos,-24.1333,19.1167,21.6,38,88,2.59,NA,1676525073
245,burns lake,54.2331,-125.7533,-1.32,97,96,1.98,CA,1676525074
246,saint-francois,46.4154,3.9054,-4.31,93,0,1.03,FR,1676525074
247,parfino,57.9731,31.6481,-8.45,95,95,2.59,RU,1676525075
248,malangali,-8.5667,34.85,18.66,91,100,0.84,TZ,1676525075
249,southbridge,42.0751,-72.0334,14.06,76,8,0.45,US,1676525000
250,carlsbad,33.1581,-117.3506,11.21,64,0,2.06,US,1676525076
251,saint-pierre,-21.3393,55.4781,28.09,57,0,5.66,RE,1676525076
252,rawson,-43.3002,-65.1023,9.28,64,100,8.19,AR,1676525077
253,genhe,50.7833,121.5167,-9.18,84,100,1.6,CN,1676525077
254,portland,45.5234,-122.6762,3.1,87,0,0.89,US,1676525008
255,mount isa,-20.7333,139.5,29.87,45,100,8.23,AU,1676524952
256,vama,47.5667,25.6833,-2.91,90,58,2.4,RO,1676525078
257,roma,43.2128,-75.4557,12.63,67,0,6.69,US,1676524585
258,san angelo,31.4638,-100.437,11.17,34,0,6.17,US,1676525078
259,outram,1.2829,103.8379,31.07,63,75,7.2,MY,1676525079
260,galle,6.0367,80.217,27.89,54,40,3.06,LK,1676525079
261,birin,26.8865,88.0718,18.31,32,69,2.79,NP,1676525080
262,calbuco,-41.768,-73.1273,8.56,69,53,9.0,CL,1676525080
263,vila franca do campo,37.7167,-25.4333,13.23,81,22,1.73,PT,1676524997
264,egvekinot,66.3167,-179.1667,-31.35,88,12,3.54,RU,1676524922
265,pangoa,-12.1167,-73.0,20.09,99,95,0.82,PE,1676524992
266,wahpeton,46.2652,-96.6059,-16.6,92,0,0.0,US,1676525081
267,laela,-8.5667,32.05,16.52,93,100,1.3,TZ,1676525081
268,ovruch,51.3246,28.8035,-1.58,76,67,1.8,UA,1676525082
269,kozhva,65.1073,57.0459,-13.3,93,100,3.53,RU,1676525082
270,provideniya,64.3833,-173.3,-25.36,64,40,7.15,RU,1676524985
271,hualmay,-11.0964,-77.6139,23.54,82,100,1.69,PE,1676524969
272,victor harbor,-35.5667,138.6167,38.16,20,29,4.67,AU,1676525083
273,port hardy,50.6996,-127.4199,4.1,87,100,11.32,CA,1676525050
274,pacific grove,36.6177,-121.9166,5.91,75,0,3.09,US,1676525074
275,homer,59.6425,-151.5483,-4.0,77,75,7.15,US,1676525083
276,meulaboh,4.1363,96.1285,28.43,70,99,1.79,ID,1676524725
277,columbus,39.9612,-82.9988,12.95,72,20,2.57,US,1676524464
278,cabo san lucas,22.8909,-109.9124,19.17,76,100,2.54,MX,1676525084
279,thinadhoo,0.5333,72.9333,27.7,68,39,5.21,MV,1676525085
280,solnechnyy,50.7214,136.6319,-14.49,87,72,2.34,RU,1676524926
281,souillac,-20.5167,57.5167,27.21,69,75,2.57,MU,1676524899
282,badiraguato,25.3667,-107.5167,11.5,47,88,1.75,MX,1676525085
283,bitung,1.4451,125.1824,30.47,70,100,5.39,ID,1676525086
284,san jeronimo,-11.9472,-75.2829,10.83,85,100,0.58,PE,1676525086
285,hasaki,35.7333,140.8333,7.34,50,28,4.99,JP,1676524892
286,iqaluit,63.7506,-68.5145,-32.95,67,0,3.6,CA,1676524909
287,vagur,61.4732,-6.8119,5.88,69,72,13.24,FO,1676525087
288,axim,4.8699,-2.2405,25.64,89,63,2.11,GH,1676524966
289,wasilla,61.5814,-149.4394,-4.47,86,0,2.57,US,1676524937
290,ahipara,-35.1667,173.1667,20.29,77,25,3.58,NZ,1676525088
291,reading,51.4562,-0.9711,8.51,84,100,7.2,GB,1676525088
292,agirish,61.9247,63.0231,-15.48,98,100,2.82,RU,1676525088
293,ulaangom,49.9811,92.0667,-23.64,95,96,1.47,MN,1676525089
294,port shepstone,-30.7414,30.455,24.55,84,100,6.8,ZA,1676524910
295,iroquois falls,48.7669,-80.6831,-16.63,91,100,5.16,CA,1676525089
296,hasilpur,29.7122,72.5553,26.74,13,91,1.0,PK,1676525090
297,byron bay,-28.65,153.6167,27.75,54,1,4.25,AU,1676524884
298,kahramanmaras,38.0,37.0,-10.14,99,97,1.54,TR,1676525090
299,okhotsk,59.3833,143.3,-18.58,75,100,7.0,RU,1676525062
300,harper,4.375,-7.7169,26.36,83,78,2.13,LR,1676525091
301,hovd,48.0056,91.6419,-14.27,83,51,1.81,MN,1676525091
302,balabac,7.9868,117.0645,26.68,82,100,8.84,PH,1676525092
303,margate,51.3813,1.3862,8.72,89,100,0.89,GB,1676524947
304,churapcha,62.0025,132.4325,-30.06,88,67,0.97,RU,1676525092
305,oktyabrskiy,54.4815,53.471,-8.08,96,99,1.9,RU,1676525093
306,san cristobal,7.7669,-72.225,20.1,93,89,0.43,VE,1676525036
307,baghdad,33.3406,44.4009,7.95,71,20,3.09,IQ,1676525093
